zip,city,pilot,stage,p1_items,p1_clean,p2_items,p4_deferred,candidate_decisions,discovery_passes,discovery_status,last_discovery_at,historical_evidence_rows,directory_rows,excluded_rows,source_candidates,external_discoveries,confirmed,needs_verification,identity_review,status_unresolved,gp_scope_unresolved,location_incomplete,probable_non_office,likely_specialist_only,source_unrepresented,external_pending,researched_unresolved,resolved_excluded,dir_with_coords,dir_missing_coords,dir_coords_recoverable,dir_coords_suspect,dir_site_checked_live,dir_prior_web_research,dir_ownership_review_only,dir_no_prior_research,dir_identity_flagged,open_items,review_items,sources_searched,last_activity,batch_rank
60602,CHICAGO,True,not_started,2,0,8,6,0,[],not_searched,,4,10,4,2,0,0,0,4,0,2,1,1,1,1,0,0,0,5,5,0,0,0,1,7,2,6,10,7,,,1
60614,CHICAGO,True,not_started,6,3,20,40,0,[],not_searched,,23,48,12,6,0,0,0,5,3,1,0,0,11,6,0,0,0,23,25,10,0,3,20,14,11,10,26,15,,,2
60622,CHICAGO,True,not_started,4,1,17,38,0,[],not_searched,,18,48,7,4,0,0,0,7,3,0,0,1,6,4,0,0,0,20,28,11,0,3,13,22,10,13,21,14,,,3
60623,CHICAGO,True,not_started,4,0,4,28,0,[],not_searched,,14,31,1,4,0,0,0,3,0,0,1,0,1,3,0,0,0,9,22,11,0,1,10,19,1,9,8,6,,,4
60068,PARK RIDGE,True,not_started,8,1,23,37,0,[],not_searched,,34,49,11,8,0,0,0,11,1,2,0,0,9,8,0,0,0,24,25,11,0,8,25,8,8,15,31,22,,,5
60201,EVANSTON,True,not_started,1,0,16,17,0,[],not_searched,,19,26,7,1,0,0,0,7,2,0,0,0,7,1,0,0,0,15,11,1,0,4,15,6,1,9,17,10,,,6
60126,ELMHURST,True,not_started,12,4,19,33,0,[],not_searched,,26,42,10,12,0,0,0,7,1,3,0,0,8,12,0,0,0,17,25,11,0,4,22,12,4,15,31,23,,,7
60540,Naperville,True,not_started,5,1,33,25,0,[],not_searched,,15,43,15,5,0,0,0,16,2,1,0,2,12,5,0,0,0,26,17,7,0,4,10,21,8,22,38,24,,,8
60517,Woodridge,True,not_started,1,1,8,21,0,[],not_searched,,13,26,3,1,0,0,0,5,0,1,0,0,2,1,0,0,0,18,8,2,0,1,12,9,4,5,9,7,,,9
60440,Bolingbrook,True,not_started,2,2,6,19,0,[],not_searched,,12,23,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0,13,10,7,0,6,6,10,1,6,8,6,,,10
60491,Homer Glen,True,not_started,2,0,6,12,0,[],not_searched,,8,16,2,2,0,0,0,3,1,0,0,1,1,2,0,0,0,9,7,2,0,2,6,6,2,2,8,6,,,11
60426,HARVEY,True,not_started,0,0,1,2,0,[],not_searched,,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,,,12
60004,ARLINGTON HEIGHTS,False,not_started,16,2,25,30,0,[],not_searched,,27,44,11,16,0,0,0,14,0,2,0,2,7,16,0,0,0,22,22,7,0,2,20,19,3,16,41,32,,,13
60435,Joliet,False,not_started,8,1,23,26,0,[],not_searched,,27,42,7,8,0,0,0,13,2,3,2,1,3,7,0,0,0,21,21,9,0,6,20,12,4,13,31,25,,,14
60611,CHICAGO,False,not_started,8,3,24,28,0,[],not_searched,,21,40,12,8,0,0,0,10,2,3,1,5,4,7,0,0,0,20,20,7,0,0,16,16,8,18,32,22,,,15
60005,ARLINGTON HEIGHTS,False,not_started,8,1,17,27,0,[],not_searched,,28,39,5,8,0,0,0,8,3,2,0,0,4,8,0,0,0,25,14,8,0,6,21,7,5,15,25,21,,,16
60462,ORLAND PARK,False,not_started,7,1,22,36,0,[],not_searched,,30,47,11,7,0,0,0,11,0,2,0,0,9,7,0,0,0,26,21,9,0,5,22,16,4,15,29,20,,,17
